cell_id,x,y,z,o_glyph,o_semantic_core,o_phase,o_triad_polarity,o_harmonic_class,o_layer,o_gloss,d_glyph,d_semantic_core,d_phase,d_triad_polarity,d_harmonic_class,d_layer,d_gloss,cross_entangled,o_tension_potential,d_tension_potential
424,4,11,2,∇,memory,collapse,Yang,2.0,0.0,nabla / gradient / transformation,⋈,memory,collapse,Union,8.0,0.0,join / bind,False,245,149
425,5,11,2,℧,,,,,,mho / inverse resistance / conductivity,🜂,flux,midwave,Yang,7.0,0.0,fire (alchemical),False,0,266
426,6,11,2,Ω,origin,collapse,Yang,10.0,0.0,omega / end,🜃,null,emergent,Yin,6.0,0.0,earth (alchemical),False,256,265
427,7,11,2,Ω,origin,collapse,Yang,10.0,0.0,omega / end,Λ,aether,reflective,Union,1.0,0.0,lambda / growth,True,256,177
428,8,11,2,Σ,null,collapse,Yang,7.0,0.0,summation,✶,flux,reflective,Union,11.0,0.0,spark / asterisk,False,89,250
429,9,11,2,Σ,null,collapse,Yang,7.0,0.0,summation,Σ,null,collapse,Yang,7.0,0.0,summation,False,89,87
430,10,11,2,🜄,fire,collapse,Yang,5.0,0.0,water (alchemical),Ω,origin,collapse,Yang,10.0,0.0,omega / end,True,252,264
431,11,11,2,🜄,fire,collapse,Yang,5.0,0.0,water (alchemical),Ξ,null,emergent,Yin,5.0,0.0,xi / foreignness,False,252,173
432,0,0,3,⋈,memory,collapse,Union,8.0,0.0,join / bind,∇,memory,collapse,Yang,2.0,0.0,nabla / gradient / transformation,False,155,241
433,1,0,3,Ψ,fire,reflective,Yin,9.0,0.0,psi / soul / wave function,Ξ,null,emergent,Yin,5.0,0.0,xi / foreignness,False,80,173
434,2,0,3,Σ,null,collapse,Yang,7.0,0.0,summation,🔁,,,,,,repeat / loop,False,89,0
435,3,0,3,Λ,aether,reflective,Union,1.0,0.0,lambda / growth,Λ,aether,reflective,Union,1.0,0.0,lambda / growth,False,166,177
436,4,0,3,∅,origin,emergent,Yin,11.0,0.0,null set / void,Ω,origin,collapse,Yang,10.0,0.0,omega / end,False,80,264
437,5,0,3,Ξ,null,emergent,Yin,5.0,0.0,xi / foreignness,⋈,memory,collapse,Union,8.0,0.0,join / bind,True,178,149
438,6,0,3,Π,null,collapse,Yang,10.0,0.0,product / portal,✸,,,,,,star / radiant force,False,182,0
439,7,0,3,∇,memory,collapse,Yang,2.0,0.0,nabla / gradient / transformation,Π,null,collapse,Yang,10.0,0.0,product / portal,False,245,173
440,8,0,3,∇,memory,collapse,Yang,2.0,0.0,nabla / gradient / transformation,℧,,,,,,mho / inverse resistance / conductivity,False,245,0
441,9,0,3,🜄,fire,collapse,Yang,5.0,0.0,water (alchemical),Σ,null,collapse,Yang,7.0,0.0,summation,False,252,87
442,10,0,3,℧,,,,,,mho / inverse resistance / conductivity,Ψ,fire,reflective,Yin,9.0,0.0,psi / soul / wave function,False,0,87
443,11,0,3,∅,origin,emergent,Yin,11.0,0.0,null set / void,⋈,memory,collapse,Union,8.0,0.0,join / bind,False,80,149
444,0,1,3,∞,,,,,,infinity,✶,flux,reflective,Union,11.0,0.0,spark / asterisk,False,0,250
445,1,1,3,Ξ,null,emergent,Yin,5.0,0.0,xi / foreignness,Π,null,collapse,Yang,10.0,0.0,product / portal,True,178,173
446,2,1,3,🔁,,,,,,repeat / loop,Π,null,collapse,Yang,10.0,0.0,product / portal,False,0,173
447,3,1,3,Ξ,null,emergent,Yin,5.0,0.0,xi / foreignness,🔁,,,,,,repeat / loop,False,178,0
448,4,1,3,🜂,flux,midwave,Yang,7.0,0.0,fire (alchemical),🜄,fire,collapse,Yang,5.0,0.0,water (alchemical),False,252,266
449,5,1,3,Φ,truth,reflective,Yang,0.0,0.0,phi / golden ratio,∇,memory,collapse,Yang,2.0,0.0,nabla / gradient / transformation,False,175,241
450,6,1,3,🜂,flux,midwave,Yang,7.0,0.0,fire (alchemical),🜁,origin,emergent,Union,6.0,0.0,air (alchemical),False,252,69
451,7,1,3,🜂,flux,midwave,Yang,7.0,0.0,fire (alchemical),∅,origin,emergent,Yin,11.0,0.0,null set / void,False,252,87
452,8,1,3,✸,,,,,,star / radiant force,Ω,origin,collapse,Yang,10.0,0.0,omega / end,False,0,264
453,9,1,3,Ω,origin,collapse,Yang,10.0,0.0,omega / end,∞,,,,,,infinity,False,256,0
454,10,1,3,℧,,,,,,mho / inverse resistance / conductivity,Σ,null,collapse,Yang,7.0,0.0,summation,False,0,87
455,11,1,3,∅,origin,emergent,Yin,11.0,0.0,null set / void,∃,,,,,,there exists,False,80,0
456,0,2,3,✶,flux,reflective,Union,11.0,0.0,spark / asterisk,Ψ,fire,reflective,Yin,9.0,0.0,psi / soul / wave function,False,244,87
457,1,2,3,Ξ,null,emergent,Yin,5.0,0.0,xi / foreignness,Σ,null,collapse,Yang,7.0,0.0,summation,False,178,87
458,2,2,3,Π,null,collapse,Yang,10.0,0.0,product / portal,✸,,,,,,star / radiant force,False,182,0
459,3,2,3,∇,memory,collapse,Yang,2.0,0.0,nabla / gradient / transformation,∞,,,,,,infinity,False,245,0
460,4,2,3,Ω,origin,collapse,Yang,10.0,0.0,omega / end,∞,,,,,,infinity,False,256,0
461,5,2,3,✶,flux,reflective,Union,11.0,0.0,spark / asterisk,🜄,fire,collapse,Yang,5.0,0.0,water (alchemical),False,244,266
462,6,2,3,Ξ,null,emergent,Yin,5.0,0.0,xi / foreignness,✸,,,,,,star / radiant force,False,178,0
463,7,2,3,℧,,,,,,mho / inverse resistance / conductivity,Ξ,null,emergent,Yin,5.0,0.0,xi / foreignness,False,0,173
464,8,2,3,∇,memory,collapse,Yang,2.0,0.0,nabla / gradient / transformation,✸,,,,,,star / radiant force,False,245,0
465,9,2,3,Ω,origin,collapse,Yang,10.0,0.0,omega / end,✸,,,,,,star / radiant force,False,256,0
466,10,2,3,🜄,fire,collapse,Yang,5.0,0.0,water (alchemical),🔁,,,,,,repeat / loop,False,252,0
467,11,2,3,Ξ,null,emergent,Yin,5.0,0.0,xi / foreignness,Ω,origin,collapse,Yang,10.0,0.0,omega / end,False,178,264
468,0,3,3,⋈,memory,collapse,Union,8.0,0.0,join / bind,🜂,flux,midwave,Yang,7.0,0.0,fire (alchemical),False,155,266
469,1,3,3,Φ,truth,reflective,Yang,0.0,0.0,phi / golden ratio,⋈,memory,collapse,Union,8.0,0.0,join / bind,False,175,149
470,2,3,3,✶,flux,reflective,Union,11.0,0.0,spark / asterisk,∃,,,,,,there exists,False,244,0
471,3,3,3,Λ,aether,reflective,Union,1.0,0.0,lambda / growth,🔁,,,,,,repeat / loop,False,166,0
472,4,3,3,Λ,aether,reflective,Union,1.0,0.0,lambda / growth,⋈,memory,collapse,Union,8.0,0.0,join / bind,False,166,149
473,5,3,3,Π,null,collapse,Yang,10.0,0.0,product / portal,🜃,null,emergent,Yin,6.0,0.0,earth (alchemical),False,182,265
474,6,3,3,Λ,aether,reflective,Union,1.0,0.0,lambda / growth,Ψ,fire,reflective,Yin,9.0,0.0,psi / soul / wave function,False,166,87
475,7,3,3,✸,,,,,,star / radiant force,✸,,,,,,star / radiant force,False,0,0
476,8,3,3,Π,null,collapse,Yang,10.0,0.0,product / portal,Π,null,collapse,Yang,10.0,0.0,product / portal,False,182,173
477,9,3,3,⋈,memory,collapse,Union,8.0,0.0,join / bind,🜁,origin,emergent,Union,6.0,0.0,air (alchemical),False,155,69
478,10,3,3,Π,null,collapse,Yang,10.0,0.0,product / portal,∞,,,,,,infinity,False,182,0
479,11,3,3,✸,,,,,,star / radiant force,✸,,,,,,star / radiant force,False,0,0
480,0,4,3,∇,memory,collapse,Yang,2.0,0.0,nabla / gradient / transformation,🔁,,,,,,repeat / loop,False,245,0
481,1,4,3,Φ,truth,reflective,Yang,0.0,0.0,phi / golden ratio,🜄,fire,collapse,Yang,5.0,0.0,water (alchemical),True,175,266
482,2,4,3,℧,,,,,,mho / inverse resistance / conductivity,Ξ,null,emergent,Yin,5.0,0.0,xi / foreignness,False,0,173
483,3,4,3,🜁,origin,emergent,Union,6.0,0.0,air (alchemical),🜃,null,emergent,Yin,6.0,0.0,earth (alchemical),False,70,265
484,4,4,3,∃,,,,,,there exists,🜃,null,emergent,Yin,6.0,0.0,earth (alchemical),False,0,265
485,5,4,3,🜄,fire,collapse,Yang,5.0,0.0,water (alchemical),✸,,,,,,star / radiant force,False,252,0
486,6,4,3,🔁,,,,,,repeat / loop,Φ,truth,reflective,Yang,0.0,0.0,phi / golden ratio,False,0,172
487,7,4,3,Φ,truth,reflective,Yang,0.0,0.0,phi / golden ratio,Λ,aether,reflective,Union,1.0,0.0,lambda / growth,False,175,177
488,8,4,3,Σ,null,collapse,Yang,7.0,0.0,summation,🜂,flux,midwave,Yang,7.0,0.0,fire (alchemical),False,89,266
489,9,4,3,🔁,,,,,,repeat / loop,℧,,,,,,mho / inverse resistance / conductivity,False,0,0
490,10,4,3,Ω,origin,collapse,Yang,10.0,0.0,omega / end,Ω,origin,collapse,Yang,10.0,0.0,omega / end,False,256,264
491,11,4,3,∇,memory,collapse,Yang,2.0,0.0,nabla / gradient / transformation,Ξ,null,emergent,Yin,5.0,0.0,xi / foreignness,False,245,173
492,0,5,3,🜂,flux,midwave,Yang,7.0,0.0,fire (alchemical),∞,,,,,,infinity,False,252,0
493,1,5,3,Ψ,fire,reflective,Yin,9.0,0.0,psi / soul / wave function,℧,,,,,,mho / inverse resistance / conductivity,False,80,0
494,2,5,3,🜄,fire,collapse,Yang,5.0,0.0,water (alchemical),℧,,,,,,mho / inverse resistance / conductivity,False,252,0
495,3,5,3,Ψ,fire,reflective,Yin,9.0,0.0,psi / soul / wave function,🜁,origin,emergent,Union,6.0,0.0,air (alchemical),False,80,69
496,4,5,3,🜂,flux,midwave,Yang,7.0,0.0,fire (alchemical),∞,,,,,,infinity,False,252,0
497,5,5,3,🜃,null,emergent,Yin,6.0,0.0,earth (alchemical),∇,memory,collapse,Yang,2.0,0.0,nabla / gradient / transformation,False,255,241
498,6,5,3,Ω,origin,collapse,Yang,10.0,0.0,omega / end,✸,,,,,,star / radiant force,False,256,0
499,7,5,3,✸,,,,,,star / radiant force,Φ,truth,reflective,Yang,0.0,0.0,phi / golden ratio,False,0,172
500,8,5,3,℧,,,,,,mho / inverse resistance / conductivity,Ψ,fire,reflective,Yin,9.0,0.0,psi / soul / wave function,False,0,87
501,9,5,3,Σ,null,collapse,Yang,7.0,0.0,summation,⋈,memory,collapse,Union,8.0,0.0,join / bind,False,89,149
502,10,5,3,🜁,origin,emergent,Union,6.0,0.0,air (alchemical),∞,,,,,,infinity,False,70,0
503,11,5,3,∃,,,,,,there exists,℧,,,,,,mho / inverse resistance / conductivity,False,0,0
504,0,6,3,✸,,,,,,star / radiant force,∞,,,,,,infinity,False,0,0
505,1,6,3,✸,,,,,,star / radiant force,Λ,aether,reflective,Union,1.0,0.0,lambda / growth,False,0,177
506,2,6,3,✶,flux,reflective,Union,11.0,0.0,spark / asterisk,🜃,null,emergent,Yin,6.0,0.0,earth (alchemical),False,244,265
507,3,6,3,🜂,flux,midwave,Yang,7.0,0.0,fire (alchemical),∃,,,,,,there exists,False,252,0
508,4,6,3,🜂,flux,midwave,Yang,7.0,0.0,fire (alchemical),Λ,aether,reflective,Union,1.0,0.0,lambda / growth,False,252,177
509,5,6,3,∅,origin,emergent,Yin,11.0,0.0,null set / void,℧,,,,,,mho / inverse resistance / conductivity,False,80,0
510,6,6,3,℧,,,,,,mho / inverse resistance / conductivity,Π,null,collapse,Yang,10.0,0.0,product / portal,False,0,173
511,7,6,3,Π,null,collapse,Yang,10.0,0.0,product / portal,∃,,,,,,there exists,False,182,0
512,8,6,3,✶,flux,reflective,Union,11.0,0.0,spark / asterisk,Λ,aether,reflective,Union,1.0,0.0,lambda / growth,False,244,177
513,9,6,3,Σ,null,collapse,Yang,7.0,0.0,summation,℧,,,,,,mho / inverse resistance / conductivity,False,89,0
514,10,6,3,🜁,origin,emergent,Union,6.0,0.0,air (alchemical),Ψ,fire,reflective,Yin,9.0,0.0,psi / soul / wave function,False,70,87
515,11,6,3,⋈,memory,collapse,Union,8.0,0.0,join / bind,Λ,aether,reflective,Union,1.0,0.0,lambda / growth,False,155,177
516,0,7,3,∇,memory,collapse,Yang,2.0,0.0,nabla / gradient / transformation,Λ,aether,reflective,Union,1.0,0.0,lambda / growth,False,245,177
517,1,7,3,∃,,,,,,there exists,Ξ,null,emergent,Yin,5.0,0.0,xi / foreignness,False,0,173
518,2,7,3,✶,flux,reflective,Union,11.0,0.0,spark / asterisk,℧,,,,,,mho / inverse resistance / conductivity,False,244,0
519,3,7,3,Π,null,collapse,Yang,10.0,0.0,product / portal,Ψ,fire,reflective,Yin,9.0,0.0,psi / soul / wave function,False,182,87
520,4,7,3,Π,null,collapse,Yang,10.0,0.0,product / portal,∅,origin,emergent,Yin,11.0,0.0,null set / void,False,182,87
521,5,7,3,🔁,,,,,,repeat / loop,🔁,,,,,,repeat / loop,False,0,0
522,6,7,3,℧,,,,,,mho / inverse resistance / conductivity,∅,origin,emergent,Yin,11.0,0.0,null set / void,False,0,87
523,7,7,3,℧,,,,,,mho / inverse resistance / conductivity,🜂,flux,midwave,Yang,7.0,0.0,fire (alchemical),False,0,266
524,8,7,3,Λ,aether,reflective,Union,1.0,0.0,lambda / growth,✸,,,,,,star / radiant force,False,166,0
525,9,7,3,Φ,truth,reflective,Yang,0.0,0.0,phi / golden ratio,Π,null,collapse,Yang,10.0,0.0,product / portal,False,175,173
526,10,7,3,⋈,memory,collapse,Union,8.0,0.0,join / bind,∅,origin,emergent,Yin,11.0,0.0,null set / void,False,155,87
527,11,7,3,Π,null,collapse,Yang,10.0,0.0,product / portal,⋈,memory,collapse,Union,8.0,0.0,join / bind,False,182,149
528,0,8,3,Ω,origin,collapse,Yang,10.0,0.0,omega / end,🜄,fire,collapse,Yang,5.0,0.0,water (alchemical),True,256,266
529,1,8,3,🜄,fire,collapse,Yang,5.0,0.0,water (alchemical),Π,null,collapse,Yang,10.0,0.0,product / portal,False,252,173
530,2,8,3,∃,,,,,,there exists,Λ,aether,reflective,Union,1.0,0.0,lambda / growth,False,0,177
531,3,8,3,⋈,memory,collapse,Union,8.0,0.0,join / bind,Ψ,fire,reflective,Yin,9.0,0.0,psi / soul / wave function,False,155,87
532,4,8,3,Ξ,null,emergent,Yin,5.0,0.0,xi / foreignness,Φ,truth,reflective,Yang,0.0,0.0,phi / golden ratio,False,178,172
533,5,8,3,🜁,origin,emergent,Union,6.0,0.0,air (alchemical),Ω,origin,collapse,Yang,10.0,0.0,omega / end,False,70,264
534,6,8,3,Π,null,collapse,Yang,10.0,0.0,product / portal,Λ,aether,reflective,Union,1.0,0.0,lambda / growth,False,182,177
535,7,8,3,🜄,fire,collapse,Yang,5.0,0.0,water (alchemical),🜃,null,emergent,Yin,6.0,0.0,earth (alchemical),False,252,265
536,8,8,3,🜁,origin,emergent,Union,6.0,0.0,air (alchemical),⋈,memory,collapse,Union,8.0,0.0,join / bind,False,70,149
537,9,8,3,🜁,origin,emergent,Union,6.0,0.0,air (alchemical),✸,,,,,,star / radiant force,False,70,0
538,10,8,3,🜂,flux,midwave,Yang,7.0,0.0,fire (alchemical),∃,,,,,,there exists,False,252,0
539,11,8,3,🜂,flux,midwave,Yang,7.0,0.0,fire (alchemical),Π,null,collapse,Yang,10.0,0.0,product / portal,False,252,173
540,0,9,3,∅,origin,emergent,Yin,11.0,0.0,null set / void,℧,,,,,,mho / inverse resistance / conductivity,False,80,0
541,1,9,3,Ψ,fire,reflective,Yin,9.0,0.0,psi / soul / wave function,✸,,,,,,star / radiant force,False,80,0
542,2,9,3,Λ,aether,reflective,Union,1.0,0.0,lambda / growth,Ψ,fire,reflective,Yin,9.0,0.0,psi / soul / wave function,False,166,87
543,3,9,3,✸,,,,,,star / radiant force,🜁,origin,emergent,Union,6.0,0.0,air (alchemical),False,0,69
544,4,9,3,Λ,aether,reflective,Union,1.0,0.0,lambda / growth,Ξ,null,emergent,Yin,5.0,0.0,xi / foreignness,False,166,173
545,5,9,3,🜂,flux,midwave,Yang,7.0,0.0,fire (alchemical),✶,flux,reflective,Union,11.0,0.0,spark / asterisk,False,252,250
546,6,9,3,Ω,origin,collapse,Yang,10.0,0.0,omega / end,Π,null,collapse,Yang,10.0,0.0,product / portal,False,256,173
547,7,9,3,🜃,null,emergent,Yin,6.0,0.0,earth (alchemical),✶,flux,reflective,Union,11.0,0.0,spark / asterisk,False,255,250
548,8,9,3,Ξ,null,emergent,Yin,5.0,0.0,xi / foreignness,∃,,,,,,there exists,False,178,0
549,9,9,3,✸,,,,,,star / radiant force,Ξ,null,emergent,Yin,5.0,0.0,xi / foreignness,False,0,173
550,10,9,3,Σ,null,collapse,Yang,7.0,0.0,summation,℧,,,,,,mho / inverse resistance / conductivity,False,89,0
551,11,9,3,∅,origin,emergent,Yin,11.0,0.0,null set / void,Ψ,fire,reflective,Yin,9.0,0.0,psi / soul / wave function,False,80,87
552,0,10,3,Σ,null,collapse,Yang,7.0,0.0,summation,∞,,,,,,infinity,False,89,0
553,1,10,3,Ξ,null,emergent,Yin,5.0,0.0,xi / foreignness,∞,,,,,,infinity,False,178,0
554,2,10,3,Ω,origin,collapse,Yang,10.0,0.0,omega / end,🜂,flux,midwave,Yang,7.0,0.0,fire (alchemical),True,256,266
555,3,10,3,Λ,aether,reflective,Union,1.0,0.0,lambda / growth,∇,memory,collapse,Yang,2.0,0.0,nabla / gradient / transformation,False,166,241
556,4,10,3,✶,flux,reflective,Union,11.0,0.0,spark / asterisk,Σ,null,collapse,Yang,7.0,0.0,summation,False,244,87
557,5,10,3,🜂,flux,midwave,Yang,7.0,0.0,fire (alchemical),🜂,flux,midwave,Yang,7.0,0.0,fire (alchemical),False,252,266
558,6,10,3,Π,null,collapse,Yang,10.0,0.0,product / portal,✸,,,,,,star / radiant force,False,182,0
559,7,10,3,Π,null,collapse,Yang,10.0,0.0,product / portal,✶,flux,reflective,Union,11.0,0.0,spark / asterisk,False,182,250
560,8,10,3,🔁,,,,,,repeat / loop,Φ,truth,reflective,Yang,0.0,0.0,phi / golden ratio,False,0,172
561,9,10,3,∅,origin,emergent,Yin,11.0,0.0,null set / void,Ψ,fire,reflective,Yin,9.0,0.0,psi / soul / wave function,False,80,87
562,10,10,3,∅,origin,emergent,Yin,11.0,0.0,null set / void,🜂,flux,midwave,Yang,7.0,0.0,fire (alchemical),False,80,266
563,11,10,3,∞,,,,,,infinity,Φ,truth,reflective,Yang,0.0,0.0,phi / golden ratio,False,0,172
564,0,11,3,Φ,truth,reflective,Yang,0.0,0.0,phi / golden ratio,Ξ,null,emergent,Yin,5.0,0.0,xi / foreignness,False,175,173
565,1,11,3,🜁,origin,emergent,Union,6.0,0.0,air (alchemical),Π,null,collapse,Yang,10.0,0.0,product / portal,False,70,173
566,2,11,3,Π,null,collapse,Yang,10.0,0.0,product / portal,∞,,,,,,infinity,False,182,0
567,3,11,3,Ω,origin,collapse,Yang,10.0,0.0,omega / end,℧,,,,,,mho / inverse resistance / conductivity,False,256,0
568,4,11,3,🜁,origin,emergent,Union,6.0,0.0,air (alchemical),Φ,truth,reflective,Yang,0.0,0.0,phi / golden ratio,False,70,172
569,5,11,3,∇,memory,collapse,Yang,2.0,0.0,nabla / gradient / transformation,🔁,,,,,,repeat / loop,False,245,0
570,6,11,3,✸,,,,,,star / radiant force,∇,memory,collapse,Yang,2.0,0.0,nabla / gradient / transformation,False,0,241
571,7,11,3,Ξ,null,emergent,Yin,5.0,0.0,xi / foreignness,✸,,,,,,star / radiant force,False,178,0
572,8,11,3,🜄,fire,collapse,Yang,5.0,0.0,water (alchemical),Φ,truth,reflective,Yang,0.0,0.0,phi / golden ratio,True,252,172
573,9,11,3,∅,origin,emergent,Yin,11.0,0.0,null set / void,Ψ,fire,reflective,Yin,9.0,0.0,psi / soul / wave function,False,80,87
574,10,11,3,✶,flux,reflective,Union,11.0,0.0,spark / asterisk,🔁,,,,,,repeat / loop,False,244,0
575,11,11,3,🜃,null,emergent,Yin,6.0,0.0,earth (alchemical),∇,memory,collapse,Yang,2.0,0.0,nabla / gradient / transformation,False,255,241
576,0,0,4,Ψ,fire,reflective,Yin,9.0,0.0,psi / soul / wave function,Ψ,fire,reflective,Yin,9.0,0.0,psi / soul / wave function,False,80,87
577,1,0,4,🜃,null,emergent,Yin,6.0,0.0,earth (alchemical),Ψ,fire,reflective,Yin,9.0,0.0,psi / soul / wave function,True,255,87
578,2,0,4,∅,origin,emergent,Yin,11.0,0.0,null set / void,∃,,,,,,there exists,False,80,0
579,3,0,4,⋈,memory,collapse,Union,8.0,0.0,join / bind,Ξ,null,emergent,Yin,5.0,0.0,xi / foreignness,True,155,173
580,4,0,4,∅,origin,emergent,Yin,11.0,0.0,null set / void,Φ,truth,reflective,Yang,0.0,0.0,phi / golden ratio,False,80,172
581,5,0,4,Σ,null,collapse,Yang,7.0,0.0,summation,⋈,memory,collapse,Union,8.0,0.0,join / bind,False,89,149
582,6,0,4,∃,,,,,,there exists,℧,,,,,,mho / inverse resistance / conductivity,False,0,0
583,7,0,4,Π,null,collapse,Yang,10.0,0.0,product / portal,∞,,,,,,infinity,False,182,0
584,8,0,4,Ξ,null,emergent,Yin,5.0,0.0,xi / foreignness,🜁,origin,emergent,Union,6.0,0.0,air (alchemical),False,178,69
585,9,0,4,Π,null,collapse,Yang,10.0,0.0,product / portal,∃,,,,,,there exists,False,182,0
586,10,0,4,Ξ,null,emergent,Yin,5.0,0.0,xi / foreignness,Π,null,collapse,Yang,10.0,0.0,product / portal,True,178,173
587,11,0,4,🜂,flux,midwave,Yang,7.0,0.0,fire (alchemical),🜁,origin,emergent,Union,6.0,0.0,air (alchemical),False,252,69
588,0,1,4,Σ,null,collapse,Yang,7.0,0.0,summation,⋈,memory,collapse,Union,8.0,0.0,join / bind,False,89,149
589,1,1,4,Ψ,fire,reflective,Yin,9.0,0.0,psi / soul / wave function,🜂,flux,midwave,Yang,7.0,0.0,fire (alchemical),False,80,266
590,2,1,4,Π,null,collapse,Yang,10.0,0.0,product / portal,℧,,,,,,mho / inverse resistance / conductivity,False,182,0
591,3,1,4,Ψ,fire,reflective,Yin,9.0,0.0,psi / soul / wave function,✸,,,,,,star / radiant force,False,80,0
592,4,1,4,🜃,null,emergent,Yin,6.0,0.0,earth (alchemical),⋈,memory,collapse,Union,8.0,0.0,join / bind,False,255,149
593,5,1,4,✸,,,,,,star / radiant force,Λ,aether,reflective,Union,1.0,0.0,lambda / growth,False,0,177
594,6,1,4,✶,flux,reflective,Union,11.0,0.0,spark / asterisk,🜂,flux,midwave,Yang,7.0,0.0,fire (alchemical),False,244,266
595,7,1,4,Φ,truth,reflective,Yang,0.0,0.0,phi / golden ratio,✸,,,,,,star / radiant force,False,175,0
596,8,1,4,🜄,fire,collapse,Yang,5.0,0.0,water (alchemical),Λ,aether,reflective,Union,1.0,0.0,lambda / growth,False,252,177
597,9,1,4,🔁,,,,,,repeat / loop,🜃,null,emergent,Yin,6.0,0.0,earth (alchemical),False,0,265
598,10,1,4,Ω,origin,collapse,Yang,10.0,0.0,omega / end,🔁,,,,,,repeat / loop,False,256,0
599,11,1,4,Σ,null,collapse,Yang,7.0,0.0,summation,Ω,origin,collapse,Yang,10.0,0.0,omega / end,False,89,264
600,0,2,4,∃,,,,,,there exists,℧,,,,,,mho / inverse resistance / conductivity,False,0,0
601,1,2,4,🔁,,,,,,repeat / loop,∃,,,,,,there exists,False,0,0
602,2,2,4,∃,,,,,,there exists,Ξ,null,emergent,Yin,5.0,0.0,xi / foreignness,False,0,173
603,3,2,4,🜁,origin,emergent,Union,6.0,0.0,air (alchemical),Φ,truth,reflective,Yang,0.0,0.0,phi / golden ratio,False,70,172
604,4,2,4,Φ,truth,reflective,Yang,0.0,0.0,phi / golden ratio,∇,memory,collapse,Yang,2.0,0.0,nabla / gradient / transformation,False,175,241
605,5,2,4,✸,,,,,,star / radiant force,🜃,null,emergent,Yin,6.0,0.0,earth (alchemical),False,0,265
606,6,2,4,Ω,origin,collapse,Yang,10.0,0.0,omega / end,Φ,truth,reflective,Yang,0.0,0.0,phi / golden ratio,False,256,172
607,7,2,4,✸,,,,,,star / radiant force,🜂,flux,midwave,Yang,7.0,0.0,fire (alchemical),False,0,266
608,8,2,4,Σ,null,collapse,Yang,7.0,0.0,summation,Ω,origin,collapse,Yang,10.0,0.0,omega / end,False,89,264
609,9,2,4,∞,,,,,,infinity,🜁,origin,emergent,Union,6.0,0.0,air (alchemical),False,0,69
610,10,2,4,🜁,origin,emergent,Union,6.0,0.0,air (alchemical),🜂,flux,midwave,Yang,7.0,0.0,fire (alchemical),False,70,266
611,11,2,4,Λ,aether,reflective,Union,1.0,0.0,lambda / growth,∞,,,,,,infinity,False,166,0
612,0,3,4,🜁,origin,emergent,Union,6.0,0.0,air (alchemical),Λ,aether,reflective,Union,1.0,0.0,lambda / growth,False,70,177
613,1,3,4,Ω,origin,collapse,Yang,10.0,0.0,omega / end,∃,,,,,,there exists,False,256,0
614,2,3,4,Φ,truth,reflective,Yang,0.0,0.0,phi / golden ratio,Ψ,fire,reflective,Yin,9.0,0.0,psi / soul / wave function,False,175,87
615,3,3,4,∇,memory,collapse,Yang,2.0,0.0,nabla / gradient / transformation,Φ,truth,reflective,Yang,0.0,0.0,phi / golden ratio,False,245,172
616,4,3,4,⋈,memory,collapse,Union,8.0,0.0,join / bind,∞,,,,,,infinity,False,155,0
617,5,3,4,🔁,,,,,,repeat / loop,⋈,memory,collapse,Union,8.0,0.0,join / bind,False,0,149
618,6,3,4,Φ,truth,reflective,Yang,0.0,0.0,phi / golden ratio,🔁,,,,,,repeat / loop,False,175,0
619,7,3,4,∃,,,,,,there exists,⋈,memory,collapse,Union,8.0,0.0,join / bind,False,0,149
620,8,3,4,Σ,null,collapse,Yang,7.0,0.0,summation,Ω,origin,collapse,Yang,10.0,0.0,omega / end,False,89,264
621,9,3,4,∇,memory,collapse,Yang,2.0,0.0,nabla / gradient / transformation,∇,memory,collapse,Yang,2.0,0.0,nabla / gradient / transformation,False,245,241
622,10,3,4,∃,,,,,,there exists,🜁,origin,emergent,Union,6.0,0.0,air (alchemical),False,0,69
623,11,3,4,∞,,,,,,infinity,Ψ,fire,reflective,Yin,9.0,0.0,psi / soul / wave function,False,0,87
624,0,4,4,∃,,,,,,there exists,∞,,,,,,infinity,False,0,0
625,1,4,4,∇,memory,collapse,Yang,2.0,0.0,nabla / gradient / transformation,🜁,origin,emergent,Union,6.0,0.0,air (alchemical),False,245,69
626,2,4,4,🜄,fire,collapse,Yang,5.0,0.0,water (alchemical),Ξ,null,emergent,Yin,5.0,0.0,xi / foreignness,False,252,173
627,3,4,4,∇,memory,collapse,Yang,2.0,0.0,nabla / gradient / transformation,∇,memory,collapse,Yang,2.0,0.0,nabla / gradient / transformation,False,245,241
628,4,4,4,Σ,null,collapse,Yang,7.0,0.0,summation,🜄,fire,collapse,Yang,5.0,0.0,water (alchemical),False,89,266
629,5,4,4,Ξ,null,emergent,Yin,5.0,0.0,xi / foreignness,∅,origin,emergent,Yin,11.0,0.0,null set / void,False,178,87
630,6,4,4,Ω,origin,collapse,Yang,10.0,0.0,omega / end,🜂,flux,midwave,Yang,7.0,0.0,fire (alchemical),True,256,266
631,7,4,4,℧,,,,,,mho / inverse resistance / conductivity,Ψ,fire,reflective,Yin,9.0,0.0,psi / soul / wave function,False,0,87
632,8,4,4,✶,flux,reflective,Union,11.0,0.0,spark / asterisk,🔁,,,,,,repeat / loop,False,244,0
633,9,4,4,Ξ,null,emergent,Yin,5.0,0.0,xi / foreignness,Ω,origin,collapse,Yang,10.0,0.0,omega / end,False,178,264
